epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.01057,1.81406,5.26319,1.41893,0.00193,0.02381,0.00625,0.00122,1.63021,5.3229,1.34468,0,0,0
2,13.7628,1.29363,5.35507,1.09281,0.00182,0.02381,0.00491,0.00107,1.62831,5.31987,1.34176,1.43565e-06,1.43565e-06,1.43565e-06
3,20.9275,1.27027,5.0464,1.20669,0.00237,0.03968,0.00553,0.00161,1.62739,5.30445,1.34423,2.84258e-06,2.84258e-06,2.84258e-06
4,28.051,1.47665,5.44701,1.22251,0.00224,0.03968,0.00551,0.00159,1.60532,5.27752,1.3351,4.2208e-06,4.2208e-06,4.2208e-06
5,35.0168,1.35932,4.99113,1.23182,0.00208,0.03968,0.0044,0.00129,1.59539,5.24541,1.32533,5.57032e-06,5.57032e-06,5.57032e-06
6,42.1266,1.41628,4.96901,1.24153,0.00744,0.06349,0.01043,0.00622,1.58308,5.17902,1.31908,6.89112e-06,6.89112e-06,6.89112e-06
7,49.0209,1.09696,5.12728,1.0044,0.00824,0.07937,0.01771,0.01094,1.54919,5.10352,1.29688,8.18322e-06,8.18322e-06,8.18322e-06
8,55.8542,1.44435,4.98987,1.19539,0.00846,0.07937,0.02813,0.02118,1.49764,5.03214,1.26805,9.4466e-06,9.4466e-06,9.4466e-06
9,62.7477,1.09016,4.88965,0.97665,0.01001,0.09524,0.0326,0.02442,1.44732,4.94888,1.23475,1.06813e-05,1.06813e-05,1.06813e-05
10,69.641,0.87769,4.61283,0.98623,0.42462,0.03117,0.03358,0.02731,1.41431,4.8631,1.20921,1.18872e-05,1.18872e-05,1.18872e-05
11,76.5516,1.08994,4.89712,0.97708,0.01445,0.11111,0.03307,0.02635,1.34272,4.80093,1.17656,1.30645e-05,1.30645e-05,1.30645e-05
12,83.254,1.14361,4.67311,1.067,0.02999,0.12698,0.04572,0.03734,1.31406,4.71544,1.14242,1.4213e-05,1.4213e-05,1.4213e-05
13,90.2809,1.29435,4.65196,1.08017,0.02151,0.12698,0.04558,0.03705,1.29511,4.66953,1.1311,1.53329e-05,1.53329e-05,1.53329e-05
14,97.1807,0.93022,4.22288,0.9959,0.02286,0.13492,0.05573,0.04522,1.28216,4.56706,1.12729,1.6424e-05,1.6424e-05,1.6424e-05
15,104.318,0.86367,4.34963,0.98752,0.02022,0.15079,0.05596,0.04498,1.26773,4.45549,1.11629,1.74864e-05,1.74864e-05,1.74864e-05
16,111.348,1.1829,4.64829,0.97591,0.03475,0.1746,0.06803,0.05489,1.22492,4.38829,1.09216,1.85201e-05,1.85201e-05,1.85201e-05
17,118.503,0.8998,4.23337,0.93353,0.03666,0.19841,0.07256,0.05992,1.17608,4.29995,1.06597,1.95251e-05,1.95251e-05,1.95251e-05
18,125.458,1.12484,4.36039,1.01465,0.03666,0.19841,0.07256,0.05992,1.17608,4.29995,1.06597,2.05014e-05,2.05014e-05,2.05014e-05
19,132.583,1.08441,4.32761,0.96457,0.0403,0.2381,0.08366,0.06662,1.14537,4.22884,1.04248,2.1449e-05,2.1449e-05,2.1449e-05
20,139.535,0.808,3.78452,0.90716,0.0403,0.2381,0.08366,0.06662,1.14537,4.22884,1.04248,2.23678e-05,2.23678e-05,2.23678e-05
21,146.613,0.95295,4.07748,0.95942,0.13224,0.18254,0.08864,0.07068,1.10406,4.1131,1.02946,2.3258e-05,2.3258e-05,2.3258e-05
22,153.43,0.83084,3.88334,0.89814,0.13224,0.18254,0.08864,0.07068,1.10406,4.1131,1.02946,2.41194e-05,2.41194e-05,2.41194e-05
23,160.666,0.93412,3.81511,0.95852,0.03261,0.28571,0.11515,0.09334,1.06923,3.98394,1.00932,2.49522e-05,2.49522e-05,2.49522e-05
24,167.609,1.2341,3.99073,1.1416,0.03261,0.28571,0.11515,0.09334,1.06923,3.98394,1.00932,2.57562e-05,2.57562e-05,2.57562e-05
25,174.795,0.92117,3.62859,0.93843,0.03744,0.28571,0.13557,0.10712,1.05491,3.88125,0.99209,2.65315e-05,2.65315e-05,2.65315e-05
26,181.814,0.93363,3.6537,0.94179,0.03744,0.28571,0.13557,0.10712,1.05491,3.88125,0.99209,2.72781e-05,2.72781e-05,2.72781e-05
27,188.849,0.74228,3.35758,0.87059,0.07818,0.30952,0.15709,0.12822,1.00937,3.71381,0.97047,2.7996e-05,2.7996e-05,2.7996e-05
28,195.793,1.03486,3.63148,0.96179,0.07818,0.30952,0.15709,0.12822,1.00937,3.71381,0.97047,2.86852e-05,2.86852e-05,2.86852e-05
29,202.884,0.94025,3.40644,0.99894,0.09959,0.33719,0.15462,0.1245,1.00161,3.6553,0.96762,2.93457e-05,2.93457e-05,2.93457e-05
30,209.755,1.06718,3.23045,1.0803,0.09959,0.33719,0.15462,0.1245,1.00161,3.6553,0.96762,2.99774e-05,2.99774e-05,2.99774e-05
31,216.973,0.76887,2.91544,0.94163,0.11611,0.3254,0.15342,0.12204,0.95574,3.57994,0.94133,3.05805e-05,3.05805e-05,3.05805e-05
32,224.022,0.96048,3.27023,0.95214,0.11611,0.3254,0.15342,0.12204,0.95574,3.57994,0.94133,3.11548e-05,3.11548e-05,3.11548e-05
33,231.118,1.11161,3.3012,1.11198,0.14232,0.35398,0.18899,0.15081,0.92058,3.4817,0.91869,3.17005e-05,3.17005e-05,3.17005e-05
34,238.129,0.82251,2.99457,0.94551,0.14232,0.35398,0.18899,0.15081,0.92058,3.4817,0.91869,3.22174e-05,3.22174e-05,3.22174e-05
35,245.008,0.84381,3.11217,0.95979,0.27511,0.42063,0.23542,0.1848,0.89927,3.37975,0.90867,3.27056e-05,3.27056e-05,3.27056e-05
36,252.1,0.78863,2.8637,0.88388,0.27511,0.42063,0.23542,0.1848,0.89927,3.37975,0.90867,3.31651e-05,3.31651e-05,3.31651e-05
37,259.174,0.78908,2.61052,0.90546,0.47852,0.31179,0.30179,0.23237,0.8787,3.3231,0.89556,3.35959e-05,3.35959e-05,3.35959e-05
38,266.262,0.97243,3.1604,0.94607,0.47852,0.31179,0.30179,0.23237,0.8787,3.3231,0.89556,3.3998e-05,3.3998e-05,3.3998e-05
39,273.196,0.88057,2.74415,0.89933,0.27264,0.5191,0.36365,0.27959,0.87445,3.28547,0.89389,3.43714e-05,3.43714e-05,3.43714e-05
40,280.07,0.96022,2.39654,0.96968,0.27264,0.5191,0.36365,0.27959,0.87445,3.28547,0.89389,3.4716e-05,3.4716e-05,3.4716e-05
41,287.17,0.92331,2.81305,1.00294,0.48706,0.47619,0.41319,0.32259,0.85567,3.13168,0.88566,3.5032e-05,3.5032e-05,3.5032e-05
42,294.069,0.85961,2.43061,0.92078,0.48706,0.47619,0.41319,0.32259,0.85567,3.13168,0.88566,3.53192e-05,3.53192e-05,3.53192e-05
43,301.088,0.99325,2.99381,0.9366,0.54815,0.43388,0.44663,0.35773,0.83705,2.88644,0.87987,3.55778e-05,3.55778e-05,3.55778e-05
44,308.229,1.02458,2.83218,0.92906,0.54815,0.43388,0.44663,0.35773,0.83705,2.88644,0.87987,3.58076e-05,3.58076e-05,3.58076e-05
45,315.22,0.98901,2.92262,0.94243,0.63957,0.40036,0.50162,0.40022,0.82027,2.63487,0.87367,3.60087e-05,3.60087e-05,3.60087e-05
46,322.295,0.82351,2.63141,0.89824,0.63957,0.40036,0.50162,0.40022,0.82027,2.63487,0.87367,3.61811e-05,3.61811e-05,3.61811e-05
47,329.435,0.90103,2.54369,0.91396,0.52582,0.53258,0.57799,0.4529,0.81987,2.4471,0.87835,3.63248e-05,3.63248e-05,3.63248e-05
48,336.348,0.78629,1.86853,0.9023,0.52582,0.53258,0.57799,0.4529,0.81987,2.4471,0.87835,3.64398e-05,3.64398e-05,3.64398e-05
49,343.619,0.80486,2.5023,0.88372,0.46547,0.63489,0.62619,0.49134,0.8306,2.26959,0.89622,3.65261e-05,3.65261e-05,3.65261e-05
50,350.64,0.82511,2.27625,0.9354,0.46547,0.63489,0.62619,0.49134,0.8306,2.26959,0.89622,3.65836e-05,3.65836e-05,3.65836e-05
51,357.997,0.65429,2.23256,0.86935,0.44057,0.66156,0.66748,0.52166,0.81534,2.11546,0.89662,3.66125e-05,3.66125e-05,3.66125e-05
52,364.842,0.90242,2.12567,0.96687,0.44057,0.66156,0.66748,0.52166,0.81534,2.11546,0.89662,3.66126e-05,3.66126e-05,3.66126e-05
53,371.844,0.84262,1.99231,0.97255,0.44057,0.66156,0.66748,0.52166,0.81534,2.11546,0.89662,3.65841e-05,3.65841e-05,3.65841e-05
54,378.914,0.85165,2.19073,0.87315,0.54812,0.64921,0.67407,0.53671,0.79651,1.95941,0.89614,3.65268e-05,3.65268e-05,3.65268e-05
55,385.804,0.7607,1.90256,0.89463,0.54812,0.64921,0.67407,0.53671,0.79651,1.95941,0.89614,3.64408e-05,3.64408e-05,3.64408e-05
56,392.851,0.91433,1.83623,0.98039,0.54812,0.64921,0.67407,0.53671,0.79651,1.95941,0.89614,3.63261e-05,3.63261e-05,3.63261e-05
57,400.005,0.87577,1.8715,0.90968,0.62832,0.60727,0.70254,0.57436,0.77677,1.81561,0.8931,3.61827e-05,3.61827e-05,3.61827e-05
58,406.929,0.76693,1.95564,0.8729,0.62832,0.60727,0.70254,0.57436,0.77677,1.81561,0.8931,3.60106e-05,3.60106e-05,3.60106e-05
59,413.953,0.71321,2.30862,0.86116,0.62832,0.60727,0.70254,0.57436,0.77677,1.81561,0.8931,3.58098e-05,3.58098e-05,3.58098e-05
60,420.832,0.89624,2.1117,0.91277,0.50167,0.74696,0.71542,0.59105,0.75483,1.71312,0.8864,3.55802e-05,3.55802e-05,3.55802e-05
61,427.416,0.84253,1.68732,0.94098,0.50167,0.74696,0.71542,0.59105,0.75483,1.71312,0.8864,3.5322e-05,3.5322e-05,3.5322e-05
62,434.171,0.76863,1.66111,0.91254,0.50167,0.74696,0.71542,0.59105,0.75483,1.71312,0.8864,3.5035e-05,3.5035e-05,3.5035e-05
63,441.406,0.78546,1.91905,0.87358,0.61793,0.68548,0.73102,0.60646,0.74046,1.6128,0.88195,3.47194e-05,3.47194e-05,3.47194e-05
64,448.42,0.71614,1.68807,0.90153,0.61793,0.68548,0.73102,0.60646,0.74046,1.6128,0.88195,3.4375e-05,3.4375e-05,3.4375e-05
65,455.205,0.69202,1.69714,0.88433,0.61793,0.68548,0.73102,0.60646,0.74046,1.6128,0.88195,3.40019e-05,3.40019e-05,3.40019e-05
66,462.622,0.68662,1.69801,0.85304,0.69898,0.60046,0.74645,0.62388,0.72064,1.50985,0.87569,3.36001e-05,3.36001e-05,3.36001e-05
67,469.556,0.92501,1.6078,0.9304,0.69898,0.60046,0.74645,0.62388,0.72064,1.50985,0.87569,3.31696e-05,3.31696e-05,3.31696e-05
68,476.402,0.75017,1.61291,0.93363,0.69898,0.60046,0.74645,0.62388,0.72064,1.50985,0.87569,3.27104e-05,3.27104e-05,3.27104e-05
69,483.298,0.61343,1.67535,0.85801,0.72326,0.64119,0.75821,0.64079,0.69996,1.41721,0.87,3.22225e-05,3.22225e-05,3.22225e-05
70,490.141,0.80747,1.50284,0.86127,0.72326,0.64119,0.75821,0.64079,0.69996,1.41721,0.87,3.17058e-05,3.17058e-05,3.17058e-05
71,497.196,0.76168,1.58796,0.86012,0.72326,0.64119,0.75821,0.64079,0.69996,1.41721,0.87,3.11605e-05,3.11605e-05,3.11605e-05
72,504.264,0.65289,1.67791,0.86293,0.55444,0.78714,0.77369,0.66045,0.67713,1.33369,0.8617,3.05864e-05,3.05864e-05,3.05864e-05
73,511.1,0.80834,1.76233,0.88678,0.55444,0.78714,0.77369,0.66045,0.67713,1.33369,0.8617,2.99837e-05,2.99837e-05,2.99837e-05
74,518.198,0.78073,1.56111,0.87908,0.55444,0.78714,0.77369,0.66045,0.67713,1.33369,0.8617,2.93522e-05,2.93522e-05,2.93522e-05
75,525.41,0.69947,1.47694,0.94325,0.66695,0.70636,0.80491,0.68859,0.66627,1.27843,0.8571,2.8692e-05,2.8692e-05,2.8692e-05
